Year;Month;val
2009;Январь;42.46
2009;Февраль;42.38
2009;Март;45.02
2009;Апрель;48.71
2009;Май;56.75
2009;Июнь;68.29
2009;Июль;64.39
2009;Август;72.40
2009;Сентябрь;67.10
2009;Октябрь;72.35
2009;Ноябрь;75.94
2009;Декабрь;73.52
2010;Январь;75.8
2010;Февраль;72.6
2010;Март;76.5
2010;Апрель;82.4
2010;Май;73.0
2010;Июнь;74.1
2010;Июль;74.5
2010;Август;75.8
2010;Сентябрь;77.5
2010;Октябрь;81.4
2010;Ноябрь;84.3
2010;Декабрь;89.5
2011;Январь;93.9
2011;Февраль;101.2
2011;Март;111.2
2011;Апрель;119.7
2011;Май;111.7
2011;Июнь;111.8
2011;Июль;115.6
2011;Август;109.8
2011;Сентябрь;112.6
2011;Октябрь;108.7
2011;Ноябрь;110.8
2011;Декабрь;107.8
2012;Январь;109.7
2012;Февраль;119.3
2012;Март;123.0
2012;Апрель;117.0
2012;Май;109.0
2012;Июнь;93.3
2012;Июль;102.7
2012;Август;113.3
2012;Сентябрь;111.5
2012;Октябрь;110.6
2012;Ноябрь;108.5
2012;Декабрь;108.7
2013;Январь;112.3
2013;Февраль;114.7
2013;Март;106.6
2013;Апрель;101.0
2013;Май;102.2
2013;Июнь;102.9
2013;Июль;108.6
2013;Август;111.5
2013;Сентябрь;111.2
2013;Октябрь;108.0
2013;Ноябрь;107.5
2013;Декабрь;110.3
2014;Январь;106.9
2014;Февраль;107.7
2014;Март;106.8
2014;Апрель;106.7
2014;Май;107.8
2014;Июнь;108.9
2014;Июль;105.1
2014;Август;100.7
2014;Сентябрь;95.7
2014;Октябрь;86.4
2014;Ноябрь;78.3
2014;Декабрь;61.0
2015;Январь;46.3
2015;Февраль;57.2
2015;Март;54.4
2015;Апрель;58.9
2015;Май;63.4
2015;Июнь;60.9
2015;Июль;55.5
2015;Август;45.4
2015;Сентябрь;46.6
2015;Октябрь;46.7
2015;Ноябрь;41.7
2015;Декабрь;36.4
2016;Январь;28.5
2016;Февраль;30.3
2016;Март;36.4
2016;Апрель;39.3
2016;Май;44.6
2016;Июнь;46.2
2016;Июль;43.3
2016;Август;43.7
2016;Сентябрь;44.2
2016;Октябрь;47.7
2016;Ноябрь;43.5
2016;Декабрь;51.9
2017;Январь;53.1
2017;Февраль;53.3
2017;Март;49.7
2017;Апрель;50.9
2017;Май;49.0
2017;Июнь;45.4
2017;Июль;47.8
2017;Август;51.1
2017;Сентябрь;54.6
2017;Октябрь;56.4
2017;Ноябрь;62.1
2017;Декабрь;63.8
2018;Январь;68.6
2018;Февраль;63.2
2018;Март;63.6
2018;Апрель;69.1
2018;Май;75.1
2018;Июнь;73.1
2018;Июль;72.8
2018;Август;71.5
2018;Сентябрь;76.3
